date,feature_index,NO2
2022-09-30 00:00:00+00:00,0,4.80883841023401e-05
2022-10-01 00:00:00+00:00,0,4.80883841023401e-05
2022-10-02 00:00:00+00:00,0,4.80883841023401e-05
2022-10-03 00:00:00+00:00,0,4.014433125121286e-05
2022-10-04 00:00:00+00:00,0,3.863404926435648e-05
2022-10-05 00:00:00+00:00,0,3.71237672775001e-05
2022-10-06 00:00:00+00:00,0,3.561348529064372e-05
2022-10-07 00:00:00+00:00,0,3.410320330378734e-05
2022-10-08 00:00:00+00:00,0,3.571542098060573e-05
2022-10-09 00:00:00+00:00,0,5.4591795333180926e-05
2022-10-10 00:00:00+00:00,0,5.5063297762759387e-05
2022-10-11 00:00:00+00:00,0,4.441537058136543e-05
2022-10-12 00:00:00+00:00,0,3.3767443399971474e-05
2022-10-13 00:00:00+00:00,0,3.880785649622946e-05
2022-10-14 00:00:00+00:00,0,4.124410130706175e-05
2022-10-15 00:00:00+00:00,0,4.09537900623036e-05
2022-10-16 00:00:00+00:00,0,5.0066507962280106e-05
2022-10-17 00:00:00+00:00,0,5.3670428355366714e-05
2022-10-18 00:00:00+00:00,0,5.727434874845332e-05
2022-10-19 00:00:00+00:00,0,6.087826914153993e-05
2022-10-20 00:00:00+00:00,0,5.4233504382258006e-05
2022-10-21 00:00:00+00:00,0,4.758873962297609e-05
2022-10-22 00:00:00+00:00,0,4.094397486369417e-05
2022-10-23 00:00:00+00:00,0,5.842072763092195e-05
2022-10-24 00:00:00+00:00,0,4.776272689923644e-05
2022-10-25 00:00:00+00:00,0,3.710472616755093e-05
2022-10-26 00:00:00+00:00,0,3.6196508750380145e-05
2022-10-27 00:00:00+00:00,0,3.528829133320935e-05
2022-10-28 00:00:00+00:00,0,3.4380073916038566e-05
2022-10-29 00:00:00+00:00,0,3.73430106014935e-05
2022-10-30 00:00:00+00:00,0,4.030594728694843e-05
2022-10-31 00:00:00+00:00,0,6.167157536967554e-05
2022-11-01 00:00:00+00:00,0,4.849953970228348e-05
2022-11-02 00:00:00+00:00,0,3.5327504034891416e-05
2022-11-03 00:00:00+00:00,0,2.912571585511614e-05
2022-11-04 00:00:00+00:00,0,2.615994667899536e-05
2022-11-05 00:00:00+00:00,0,3.7727441394963535e-05
2022-11-06 00:00:00+00:00,0,3.8645835024325584e-05
2022-11-07 00:00:00+00:00,0,3.956422865368763e-05
2022-11-08 00:00:00+00:00,0,4.048262228304968e-05
2022-11-09 00:00:00+00:00,0,3.703253794336553e-05
2022-11-10 00:00:00+00:00,0,3.3582453603681395e-05
2022-11-11 00:00:00+00:00,0,3.013236926399725e-05
2022-11-12 00:00:00+00:00,0,2.6682284924313106e-05
2022-11-13 00:00:00+00:00,0,2.323220058462896e-05
2022-11-14 00:00:00+00:00,0,1.978211624494482e-05
2022-11-15 00:00:00+00:00,0,2.1852363581139662e-05
2022-11-16 00:00:00+00:00,0,2.3922610917334504e-05
2022-11-17 00:00:00+00:00,0,2.5992858253529346e-05
2022-11-18 00:00:00+00:00,0,2.806310558972419e-05
2022-11-19 00:00:00+00:00,0,3.013335292591903e-05
2022-11-20 00:00:00+00:00,0,3.2203600262113876e-05
2022-11-21 00:00:00+00:00,0,3.4273847598308714e-05
2022-11-22 00:00:00+00:00,0,3.634409493450355e-05
2022-11-23 00:00:00+00:00,0,3.84143422706984e-05
2022-11-24 00:00:00+00:00,0,3.6548377540050434e-05
2022-11-25 00:00:00+00:00,0,3.468241280940247e-05
2022-11-26 00:00:00+00:00,0,3.281644807875451e-05
2022-11-27 00:00:00+00:00,0,3.095048334810655e-05
2022-11-28 00:00:00+00:00,0,2.9084518617458584e-05
2022-11-29 00:00:00+00:00,0,2.721855388681062e-05
2022-11-30 00:00:00+00:00,0,2.535258915616266e-05
2022-12-01 00:00:00+00:00,0,9.291620153817348e-05
2022-12-02 00:00:00+00:00,0,7.995709594979416e-05
2022-12-03 00:00:00+00:00,0,6.699799036141485e-05
2022-12-04 00:00:00+00:00,0,5.403888477303553e-05
2022-12-05 00:00:00+00:00,0,4.107977918465621e-05
2022-12-06 00:00:00+00:00,0,2.8120673596276903e-05
2022-12-07 00:00:00+00:00,0,4.383843810905496e-05
2022-12-08 00:00:00+00:00,0,3.1868569143019464e-05
2022-12-09 00:00:00+00:00,0,3.3079036029448616e-05
2022-12-10 00:00:00+00:00,0,5.216735446773437e-05
2022-12-11 00:00:00+00:00,0,2.3326692354904328e-05
2022-12-12 00:00:00+00:00,0,3.330099201882738e-05
2022-12-13 00:00:00+00:00,0,4.219145978368033e-05
2022-12-14 00:00:00+00:00,0,4.109745471699474e-05
2022-12-15 00:00:00+00:00,0,6.875517296326247e-05
2022-12-16 00:00:00+00:00,0,5.789591502475721e-05
2022-12-17 00:00:00+00:00,0,4.703665708625195e-05
2022-12-18 00:00:00+00:00,0,3.617739914774668e-05
2022-12-19 00:00:00+00:00,0,3.849021187563313e-05
2022-12-20 00:00:00+00:00,0,4.080302460351959e-05
2022-12-21 00:00:00+00:00,0,4.010860619232784e-05
2022-12-22 00:00:00+00:00,0,3.969555520435031e-05
2022-12-23 00:00:00+00:00,0,3.9282504216372784e-05
2022-12-24 00:00:00+00:00,0,3.8869453228395254e-05
2022-12-25 00:00:00+00:00,0,3.8456402240417724e-05
2022-12-26 00:00:00+00:00,0,3.8043351252440194e-05
2022-12-27 00:00:00+00:00,0,3.763030026446267e-05
2022-12-28 00:00:00+00:00,0,3.721724927648514e-05
2022-12-29 00:00:00+00:00,0,3.37060481494215e-05
2022-12-30 00:00:00+00:00,0,3.0194847022357864e-05
2022-12-31 00:00:00+00:00,0,2.6683645895294224e-05
2023-01-01 00:00:00+00:00,0,2.3172444768230588e-05
2023-01-02 00:00:00+00:00,0,1.9661243641166948e-05
2023-01-03 00:00:00+00:00,0,1.926102595461998e-05
2023-01-04 00:00:00+00:00,0,4.352810817810958e-05
2023-01-05 00:00:00+00:00,0,3.035022708555234e-05
2023-01-06 00:00:00+00:00,0,2.171748965338338e-05
2023-01-07 00:00:00+00:00,0,2.8602438509677024e-05
2023-01-08 00:00:00+00:00,0,5.847069526983736e-05
2023-01-09 00:00:00+00:00,0,5.419104101683683e-05
2023-01-10 00:00:00+00:00,0,4.991138676383631e-05
2023-01-11 00:00:00+00:00,0,4.781787198050053e-05
2023-01-12 00:00:00+00:00,0,4.744668840430677e-05
2023-01-13 00:00:00+00:00,0,6.942005539282323e-05
2023-01-14 00:00:00+00:00,0,4.63857735527339e-05
2023-01-15 00:00:00+00:00,0,3.4519416052110806e-05
2023-01-16 00:00:00+00:00,0,3.509090441054598e-05
2023-01-17 00:00:00+00:00,0,3.5103827804641105e-05
2023-01-18 00:00:00+00:00,0,3.511675119873623e-05
2023-01-19 00:00:00+00:00,0,3.0809799936124166e-05
2023-01-20 00:00:00+00:00,0,2.6502848673512096e-05
2023-01-21 00:00:00+00:00,0,3.3091992174867925e-05
2023-01-22 00:00:00+00:00,0,3.968113567622375e-05
2023-01-23 00:00:00+00:00,0,4.6270279177579575e-05
2023-01-24 00:00:00+00:00,0,4.2584047284276854e-05
2023-01-25 00:00:00+00:00,0,3.889781539097413e-05
2023-01-26 00:00:00+00:00,0,3.521158349767142e-05
2023-01-27 00:00:00+00:00,0,3.1525351604368695e-05
2023-01-28 00:00:00+00:00,0,2.7839119711065973e-05
2023-01-29 00:00:00+00:00,0,2.4152887817763254e-05
2023-01-30 00:00:00+00:00,0,2.6089811936716693e-05
2023-01-31 00:00:00+00:00,0,2.8026736055670135e-05
2023-02-01 00:00:00+00:00,0,3.617004726534519e-05
2023-02-02 00:00:00+00:00,0,4.431335847502024e-05
2023-02-03 00:00:00+00:00,0,4.059795107671314e-05
2023-02-04 00:00:00+00:00,0,3.688254367840603e-05
2023-02-05 00:00:00+00:00,0,3.316713628009893e-05
2023-02-06 00:00:00+00:00,0,2.273256298697864e-05
2023-02-07 00:00:00+00:00,0,3.189573787191572e-05
2023-02-08 00:00:00+00:00,0,4.1058912756852806e-05
2023-02-09 00:00:00+00:00,0,4.211412181120977e-05
2023-02-10 00:00:00+00:00,0,4.3169330865566735e-05
2023-02-11 00:00:00+00:00,0,4.42245399199237e-05
2023-02-12 00:00:00+00:00,0,4.5279748974280665e-05
2023-02-13 00:00:00+00:00,0,3.708698386617471e-05
2023-02-14 00:00:00+00:00,0,4.010960583400447e-05
2023-02-15 00:00:00+00:00,0,3.762291497366732e-05
2023-02-16 00:00:00+00:00,0,3.513622411333017e-05
2023-02-17 00:00:00+00:00,0,3.2649533252993024e-05
2023-02-18 00:00:00+00:00,0,3.0162842392655875e-05
2023-02-19 00:00:00+00:00,0,2.8010523844083465e-05
2023-02-20 00:00:00+00:00,0,4.681642916265821e-05
2023-02-21 00:00:00+00:00,0,2.6556762522886858e-05
2023-02-22 00:00:00+00:00,0,2.861821271568153e-05
2023-02-23 00:00:00+00:00,0,3.575437585823238e-05
2023-02-24 00:00:00+00:00,0,3.426178745939979e-05
2023-02-25 00:00:00+00:00,0,2.4048368345575e-05
2023-02-26 00:00:00+00:00,0,2.5461414922835716e-05
2023-02-27 00:00:00+00:00,0,2.687446150009643e-05
2023-02-28 00:00:00+00:00,0,2.8287508077357146e-05
2023-03-01 00:00:00+00:00,0,2.9700554654617862e-05
2023-03-02 00:00:00+00:00,0,3.111360123187858e-05
2023-03-03 00:00:00+00:00,0,3.252664780913929e-05
2023-03-04 00:00:00+00:00,0,1.4564880643774814e-05
2023-03-05 00:00:00+00:00,0,3.466488548535077e-05
2023-03-06 00:00:00+00:00,0,3.510376365738921e-05
2023-03-07 00:00:00+00:00,0,6.558954191859812e-05
2023-03-08 00:00:00+00:00,0,4.173452413981847e-05
2023-03-09 00:00:00+00:00,0,4.317266625135248e-05
2023-03-10 00:00:00+00:00,0,3.2755914541363986e-05
2023-03-11 00:00:00+00:00,0,4.758493781303736e-05
2023-03-12 00:00:00+00:00,0,4.241965195563223e-05
2023-03-13 00:00:00+00:00,0,2.3423405799314005e-05
2023-03-14 00:00:00+00:00,0,3.584171913860787e-05
2023-03-15 00:00:00+00:00,0,2.2630441704181564e-05
2023-03-16 00:00:00+00:00,0,2.927324513965969e-05
2023-03-17 00:00:00+00:00,0,3.80943196692637e-05
2023-03-18 00:00:00+00:00,0,3.149432423015242e-05
2023-03-19 00:00:00+00:00,0,2.330907180083029e-05
2023-03-20 00:00:00+00:00,0,2.351161122372398e-05
2023-03-21 00:00:00+00:00,0,2.371415064661767e-05
2023-03-22 00:00:00+00:00,0,3.925494068177861e-05
2023-03-23 00:00:00+00:00,0,5.9563846266626015e-05
2023-03-24 00:00:00+00:00,0,6.347333510348108e-05
2023-03-25 00:00:00+00:00,0,6.71675916237291e-05
2023-03-26 00:00:00+00:00,0,7.15698776427113e-05
2023-03-27 00:00:00+00:00,0,7.597216366169353e-05
2023-03-28 00:00:00+00:00,0,7.39514247037559e-05
2023-03-29 00:00:00+00:00,0,7.193068574581827e-05
2023-03-30 00:00:00+00:00,0,6.990994678788065e-05
2023-03-31 00:00:00+00:00,0,6.788920782994302e-05
2023-04-01 00:00:00+00:00,0,6.586846887200539e-05
2023-04-02 00:00:00+00:00,0,3.362605240695035e-05
2023-04-03 00:00:00+00:00,0,4.8846883873920885e-05
2023-04-04 00:00:00+00:00,0,2.980350756034669e-05
2023-04-05 00:00:00+00:00,0,9.198404586641118e-05
2023-04-06 00:00:00+00:00,0,7.211117901368363e-05
2023-04-07 00:00:00+00:00,0,5.223831216095608e-05
2023-04-08 00:00:00+00:00,0,6.343788048806822e-05
2023-04-09 00:00:00+00:00,0,3.757771557704675e-05
2023-04-10 00:00:00+00:00,0,3.1132326137943745e-05
2023-04-11 00:00:00+00:00,0,2.468693669884074e-05
2023-04-12 00:00:00+00:00,0,4.574026890969392e-05
2023-04-13 00:00:00+00:00,0,4.152346068518572e-05
2023-04-14 00:00:00+00:00,0,3.730665246067751e-05
2023-04-15 00:00:00+00:00,0,4.606262154993601e-05
2023-04-16 00:00:00+00:00,0,6.621084830840118e-05
2023-04-17 00:00:00+00:00,0,5.280415156118e-05
2023-04-18 00:00:00+00:00,0,2.6905144596713472e-05
2023-04-19 00:00:00+00:00,0,3.209565915085477e-05
2023-04-20 00:00:00+00:00,0,3.0211113467933165e-05
2023-04-21 00:00:00+00:00,0,2.8326567785011562e-05
2023-04-22 00:00:00+00:00,0,2.6442022102089956e-05
2023-04-23 00:00:00+00:00,0,1.9693527403742724e-05
2023-04-24 00:00:00+00:00,0,2.268879184557637e-05
2023-04-25 00:00:00+00:00,0,2.7416711492726477e-05
2023-04-26 00:00:00+00:00,0,2.164515845994602e-05
2023-04-27 00:00:00+00:00,0,2.884500524184356e-05
2023-04-28 00:00:00+00:00,0,5.201448319977234e-05
2023-04-29 00:00:00+00:00,0,3.842953673070455e-05
2023-04-30 00:00:00+00:00,0,2.4844590261636767e-05
2023-05-01 00:00:00+00:00,0,2.4968336028426783e-05
2023-05-02 00:00:00+00:00,0,2.360832000444394e-05
2023-05-03 00:00:00+00:00,0,2.9528060003166443e-05
2023-05-04 00:00:00+00:00,0,2.7076626273420903e-05
2023-05-05 00:00:00+00:00,0,3.111083339414715e-05
2023-05-06 00:00:00+00:00,0,4.05083982210878e-05
2023-05-07 00:00:00+00:00,0,3.648461539082096e-05
2023-05-08 00:00:00+00:00,0,2.803163802540935e-05
2023-05-09 00:00:00+00:00,0,2.750532650029333e-05
2023-05-10 00:00:00+00:00,0,2.6979014975177304e-05
2023-05-11 00:00:00+00:00,0,2.645270345006128e-05
2023-05-12 00:00:00+00:00,0,2.592639192494526e-05
2023-05-13 00:00:00+00:00,0,3.8981809666438494e-05
2023-05-14 00:00:00+00:00,0,4.813012298615397e-05
2023-05-15 00:00:00+00:00,0,5.935128683631774e-05
2023-05-16 00:00:00+00:00,0,5.1940043704235e-05
2023-05-17 00:00:00+00:00,0,6.280399183571503e-05
2023-05-18 00:00:00+00:00,0,3.530519640359368e-05
2023-05-19 00:00:00+00:00,0,5.351290584823456e-05
2023-05-20 00:00:00+00:00,0,3.8831822565749016e-05
2023-05-21 00:00:00+00:00,0,2.926091028897719e-05
2023-05-22 00:00:00+00:00,0,3.60480889109264e-05
2023-05-23 00:00:00+00:00,0,6.178974597233996e-05
2023-05-24 00:00:00+00:00,0,3.247711178193306e-05
2023-05-25 00:00:00+00:00,0,4.410381762472053e-05
2023-05-26 00:00:00+00:00,0,3.778052447085763e-05
2023-05-27 00:00:00+00:00,0,5.496713611348749e-05
2023-05-28 00:00:00+00:00,0,5.0267114784219305e-05
2023-05-29 00:00:00+00:00,0,3.503446269961488e-05
2023-05-30 00:00:00+00:00,0,3.0306314876762204e-05
2023-05-31 00:00:00+00:00,0,4.704184657941592e-05
2023-06-01 00:00:00+00:00,0,3.3266673663278274e-05
2023-06-02 00:00:00+00:00,0,4.239226707016185e-05
2023-06-03 00:00:00+00:00,0,5.284992407507074e-05
2023-06-04 00:00:00+00:00,0,4.176447404865434e-05
2023-06-05 00:00:00+00:00,0,4.316892074712087e-05
2023-06-06 00:00:00+00:00,0,4.163350450139463e-05
2023-06-07 00:00:00+00:00,0,4.819675354044694e-05
2023-06-08 00:00:00+00:00,0,5.236851816613237e-05
2023-06-09 00:00:00+00:00,0,4.988584162895898e-05
2023-06-10 00:00:00+00:00,0,5.289215016546223e-05
2023-06-11 00:00:00+00:00,0,2.37987349880342e-05
2023-06-12 00:00:00+00:00,0,3.807556579570757e-05
2023-06-13 00:00:00+00:00,0,4.609809081518071e-05
2023-06-14 00:00:00+00:00,0,2.966061275605616e-05
2023-06-15 00:00:00+00:00,0,4.44248904451732e-05
2023-06-16 00:00:00+00:00,0,5.487561175805452e-05
2023-06-17 00:00:00+00:00,0,3.848329188072892e-05
2023-06-18 00:00:00+00:00,0,2.458642448946843e-05
2023-06-19 00:00:00+00:00,0,5.143793718960341e-05
2023-06-20 00:00:00+00:00,0,6.486959566245787e-05
2023-06-21 00:00:00+00:00,0,5.5627875339910935e-05
2023-06-22 00:00:00+00:00,0,4.8710398630191776e-05
2023-06-23 00:00:00+00:00,0,3.002986782770937e-05
2023-06-24 00:00:00+00:00,0,5.468366228398031e-05
2023-06-25 00:00:00+00:00,0,4.05476451252231e-05
2023-06-26 00:00:00+00:00,0,5.697735201358548e-05
2023-06-27 00:00:00+00:00,0,4.957144786506736e-05
2023-06-28 00:00:00+00:00,0,4.609015741152689e-05
2023-06-29 00:00:00+00:00,0,3.292584771866371e-05
2023-06-30 00:00:00+00:00,0,4.559036768534077e-05
2023-07-01 00:00:00+00:00,0,3.688474774847877e-05
2023-07-02 00:00:00+00:00,0,6.042965625446024e-05
2023-07-03 00:00:00+00:00,0,6.0805040962093145e-05
2023-07-04 00:00:00+00:00,0,6.513183507195208e-05
2023-07-05 00:00:00+00:00,0,3.697683203664264e-05
2023-07-06 00:00:00+00:00,0,3.96512980881633e-05
2023-07-07 00:00:00+00:00,0,7.968197132868227e-05
2023-07-08 00:00:00+00:00,0,5.0165138270585884e-05
2023-07-09 00:00:00+00:00,0,2.0648305212489505e-05
2023-07-10 00:00:00+00:00,0,5.119428586017181e-05
2023-07-11 00:00:00+00:00,0,6.056735669517366e-05
2023-07-12 00:00:00+00:00,0,0.0001000086517799028
2023-07-13 00:00:00+00:00,0,7.683317505181644e-05
2023-07-14 00:00:00+00:00,0,4.158182289228857e-05
2023-07-15 00:00:00+00:00,0,3.900388272144952e-05
2023-07-16 00:00:00+00:00,0,4.712718911928517e-05
2023-07-17 00:00:00+00:00,0,4.1422196356203735e-05
2023-07-18 00:00:00+00:00,0,4.325227402140237e-05
2023-07-19 00:00:00+00:00,0,3.252365107592985e-05
2023-07-20 00:00:00+00:00,0,8.460453782576297e-05
2023-07-21 00:00:00+00:00,0,7.877769314204453e-05
2023-07-22 00:00:00+00:00,0,3.718739057187625e-05
2023-07-23 00:00:00+00:00,0,3.406681157592138e-05
2023-07-24 00:00:00+00:00,0,3.180935479521191e-05
2023-07-25 00:00:00+00:00,0,4.238356563118508e-05
2023-07-26 00:00:00+00:00,0,3.954468775191344e-05
2023-07-27 00:00:00+00:00,0,4.6001110158798914e-05
2023-07-28 00:00:00+00:00,0,4.0946658619607966e-05
2023-07-29 00:00:00+00:00,0,3.326983218060804e-05
2023-07-30 00:00:00+00:00,0,2.878805193888737e-05
2023-07-31 00:00:00+00:00,0,2.396380125214726e-05
2023-08-01 00:00:00+00:00,0,1.9556046115414774e-05
2023-08-02 00:00:00+00:00,0,2.6402343089158577e-05
2023-08-03 00:00:00+00:00,0,3.376764890367203e-05
2023-08-04 00:00:00+00:00,0,3.6697378810559815e-05
2023-08-05 00:00:00+00:00,0,4.252121701084638e-05
2023-08-06 00:00:00+00:00,0,1.749289389854126e-05
2023-08-07 00:00:00+00:00,0,3.215227348029694e-05
2023-08-08 00:00:00+00:00,0,3.4424042864207254e-05
2023-08-09 00:00:00+00:00,0,3.3028506642986776e-05
2023-08-10 00:00:00+00:00,0,3.365463098671558e-05
2023-08-11 00:00:00+00:00,0,5.9647637562891255e-05
2023-08-12 00:00:00+00:00,0,4.284376600913848e-05
2023-08-13 00:00:00+00:00,0,2.6358879049625172e-05
2023-08-14 00:00:00+00:00,0,3.671015027699152e-05
2023-08-15 00:00:00+00:00,0,4.4746564220318126e-05
2023-08-16 00:00:00+00:00,0,3.784862336884699e-05
2023-08-17 00:00:00+00:00,0,4.034481467637566e-05
2023-08-18 00:00:00+00:00,0,3.492435044268433e-05
2023-08-19 00:00:00+00:00,0,3.823287075573141e-05
2023-08-20 00:00:00+00:00,0,2.494168112813592e-05
2023-08-21 00:00:00+00:00,0,4.3650435089853554e-05
2023-08-22 00:00:00+00:00,0,3.090071203011891e-05
2023-08-23 00:00:00+00:00,0,3.867591038549424e-05
2023-08-24 00:00:00+00:00,0,3.635017282602125e-05
2023-08-25 00:00:00+00:00,0,3.731719780076599e-05
2023-08-26 00:00:00+00:00,0,3.743319997583773e-05
2023-08-27 00:00:00+00:00,0,4.239823503540233e-05
2023-08-28 00:00:00+00:00,0,2.997685248596916e-05
2023-08-29 00:00:00+00:00,0,4.3038291699545246e-05
2023-08-30 00:00:00+00:00,0,2.8166717277840968e-05
2023-08-31 00:00:00+00:00,0,3.594862117060242e-05
2023-09-01 00:00:00+00:00,0,4.032155180650488e-05
2023-09-02 00:00:00+00:00,0,3.209423479978684e-05
2023-09-03 00:00:00+00:00,0,2.93211700483546e-05
2023-09-04 00:00:00+00:00,0,3.8775965076267165e-05
2023-09-05 00:00:00+00:00,0,2.5894242241975007e-05
2023-09-06 00:00:00+00:00,0,4.658081721381199e-05
2023-09-07 00:00:00+00:00,0,6.695179596742189e-05
2023-09-08 00:00:00+00:00,0,5.146691975304358e-05
2023-09-09 00:00:00+00:00,0,5.13273563989728e-05
2023-09-10 00:00:00+00:00,0,3.158136335941333e-05
2023-09-11 00:00:00+00:00,0,2.1995428502795335e-05
2023-09-12 00:00:00+00:00,0,4.240664570716035e-05
2023-09-13 00:00:00+00:00,0,3.322490913758104e-05
2023-09-14 00:00:00+00:00,0,3.804844067524434e-05
2023-09-15 00:00:00+00:00,0,3.141441605720854e-05
2023-09-16 00:00:00+00:00,0,1.8228043677017737e-05
2023-09-17 00:00:00+00:00,0,3.345920204419936e-05
2023-09-18 00:00:00+00:00,0,4.717606881448384e-05
2023-09-19 00:00:00+00:00,0,5.424166767242193e-05
2023-09-20 00:00:00+00:00,0,5.122789596685041e-05
2023-09-21 00:00:00+00:00,0,4.686497393368901e-05
2023-09-22 00:00:00+00:00,0,4.505351096833527e-05
2023-09-23 00:00:00+00:00,0,2.773888450157793e-05
2023-09-24 00:00:00+00:00,0,2.6465747683984345e-05
2023-09-25 00:00:00+00:00,0,3.701753843188271e-05
2023-09-26 00:00:00+00:00,0,3.107357443528896e-05
2023-09-27 00:00:00+00:00,0,2.4527073000339142e-05
2023-09-28 00:00:00+00:00,0,2.491489884013557e-05
2023-09-29 00:00:00+00:00,0,3.0990865571784894e-05
